DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,PEDESTRIAN,SPEEDING,NEIGHBOURHOOD_158,DIVISION
11/12/2021 10:00:00 AM,2030,DON VALLEY PARKWAY  S,DUNDAS ST E,Expressway,Toronto and East York,43.662001,-79.355159,Non Intersection,No Control,Clear,"Dark, artificial",Wet,1,Pedestrian Collisions,Driver,25 to 29,South,Going Ahead,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,South Riverdale,D55
11/12/2021 10:00:00 AM,2030,DON VALLEY PARKWAY  S,DUNDAS ST E,Expressway,Toronto and East York,43.662001,-79.355159,Non Intersection,No Control,Clear,"Dark, artificial",Wet,1,Pedestrian Collisions,Passenger,30 to 34,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,South Riverdale,D55
11/13/2021 10:00:00 AM,2012,THE QUEENSWAY,HIGH ST,Major Arterial,Etobicoke York,43.632056,-79.477725,Non Intersection,No Control,Clear,"Dark, artificial",Dry,1,SMV Other,Driver,20 to 24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Stonegate-Queensway,D22
11/13/2021 10:00:00 AM,2012,THE QUEENSWAY,HIGH ST,Major Arterial,Etobicoke York,43.632056,-79.477725,Non Intersection,No Control,Clear,"Dark, artificial",Dry,1,SMV Other,Driver,20 to 24,West,Overtaking,Lost control,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Stonegate-Queensway,D22
11/13/2021 10:00:00 AM,2100,RENFORTH DR,CENTENNIAL PARK GT,Minor Arterial,Etobicoke York,43.65372,-79.580486,Non Intersection,No Control,Clear,"Dark, artificial",Dry,1,SMV Other,Passenger,5 to 9,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Eringate-Centennial-West Deane,D22
11/13/2021 10:00:00 AM,2100,RENFORTH DR,CENTENNIAL PARK GT,Minor Arterial,Etobicoke York,43.65372,-79.580486,Non Intersection,No Control,Clear,"Dark, artificial",Dry,1,SMV Other,Driver,30 to 34,South,Going Ahead,Lost control,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Eringate-Centennial-West Deane,D22
11/18/2021 10:00:00 AM,959,SHERBOURNE ST,DUNDAS ST  E,Major Arterial,Toronto and East York,43.658221,-79.37099,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Truck Driver,55 to 59,South,Turning Left,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,Moss Park,D51
11/18/2021 10:00:00 AM,959,SHERBOURNE ST,DUNDAS ST  E,Major Arterial,Toronto and East York,43.658221,-79.37099,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Wheelchair,55 to 59,West,Going Ahead,Unknown,Unknown,Vehicle turns left while ped crosses without ROW at inter.,Crossing without right of way,Inattentive,Unknown,Yes,No,Moss Park,D51
12/3/2021 10:00:00 AM,1325,TOWER DR,BRIAN AVE,Local,Scarborough,43.747439,-79.299724,Intersection Related,Stop Sign,Clear,Daylight,Dry,1,SMV Other,Driver,80 to 84,East,Going Ahead,Lost control,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Wexford/Maryvale,D41
12/10/2021 10:00:00 AM,2345,LAKE SHORE BLVD E,LOWER JARVIS ST,Major Arterial,Scarborough,43.645503,-79.369815,Non Intersection,Traffic Signal,Clear,Dark,Dry,1,Pedestrian Collisions,Pedestrian,35 to 39,Unknown,Unknown,Unknown,Unknown,Vehicle is going straight thru inter.while ped cross without ROW,Other,Other,Unknown,Yes,Yes,St Lawrence-East Bayfront-The Islands,D51
